customer_id,country,customer_tier,join_date
C00326,Germany,Bronze,2022-09-15
C00327,United Kingdom,Bronze,2022-09-29
C00328,Canada,Bronze,2022-03-22
C00329,United States,Gold,2022-01-30
C00330,United States,Bronze,2022-09-18
C00331,United States,Bronze,2022-02-11
C00332,Germany,Bronze,2022-04-06
C00333,United States,Silver,2022-02-05
C00334,United States,Silver,2022-11-01
C00335,United States,Bronze,2022-02-04
C00336,United States,Bronze,2022-12-12
C00337,Australia,Bronze,2022-05-01
C00338,Germany,Bronze,2022-07-26
C00339,United Kingdom,Bronze,2022-03-03
C00340,United States,Bronze,2022-10-19
C00341,United Kingdom,Bronze,2022-05-07
C00342,United Kingdom,Bronze,2022-10-24
C00343,United States,Bronze,2022-11-01
C00344,United States,Silver,2022-01-21
C00345,United States,Silver,2022-11-14
C00346,Canada,Bronze,2022-02-11
C00347,Canada,Silver,2022-08-03
C00348,United States,Silver,2022-12-03
C00349,United States,Silver,2022-10-26
C00350,Canada,Silver,2022-10-17
C00351,United Kingdom,Silver,2022-09-25
C00352,Australia,Silver,2022-06-11
C00353,Canada,Bronze,2022-05-14
C00354,United States,Bronze,2022-04-15
C00355,United States,Silver,2022-12-09
C00356,Canada,Gold,2022-06-10
C00357,United States,Bronze,2022-05-03
C00358,United Kingdom,Silver,2022-05-16
C00359,Brazil,Bronze,2022-07-22
C00360,United Kingdom,Bronze,2022-03-09
C00361,United States,Bronze,2022-12-10
C00362,Canada,Silver,2022-11-27
C00363,United Kingdom,Bronze,2022-06-03
C00364,United Kingdom,Silver,2022-08-23
C00365,Brazil,Bronze,2022-06-11
C00366,United States,Bronze,2022-02-07
C00367,Mexico,Silver,2022-01-05
C00368,Japan,Silver,2022-08-23
C00369,United States,Silver,2022-11-15
C00370,United States,Bronze,2022-10-16
C00371,United States,Silver,2022-02-21
C00372,United States,Bronze,2022-02-07
C00373,United States,Silver,2022-10-03
C00374,Canada,Bronze,2022-04-20
C00375,United States,Bronze,2022-09-17
C00376,United States,Bronze,2022-05-16
C00377,Australia,Bronze,2022-03-09
C00378,United States,Silver,2022-06-28
C00379,France,Gold,2022-02-05
C00380,United States,Bronze,2022-05-06
C00381,United States,Silver,2022-07-09
C00382,Canada,Silver,2022-05-26
C00383,Canada,Gold,2022-03-22
C00384,Australia,Silver,2022-08-13
C00385,Germany,Gold,2022-10-06
C00386,France,Bronze,2022-12-27
C00387,United States,Silver,2022-06-04
C00388,United States,Bronze,2022-11-10
C00389,Germany,Gold,2022-12-01
C00390,France,Bronze,2022-09-28
C00391,Spain,Silver,2022-01-05
C00392,United States,Bronze,2022-12-08
C00393,United States,Bronze,2022-10-11
C00394,France,Silver,2022-06-03
C00395,United States,Bronze,2022-12-06
C00396,Brazil,Bronze,2022-02-23
C00397,Australia,Bronze,2022-03-10
C00398,United States,Bronze,2022-05-16
C00399,Germany,Silver,2022-03-01
C00400,Germany,Bronze,2022-02-24
C00401,United States,Gold,2022-10-11
C00402,Japan,Gold,2022-03-21
C00403,United Kingdom,Bronze,2022-05-20
C00404,France,Silver,2022-05-25
C00405,United States,Bronze,2022-11-06
C00406,Japan,Bronze,2022-04-18
C00407,United States,Bronze,2022-06-25
C00408,United States,Bronze,2022-04-15
C00409,Japan,Silver,2022-12-18
C00410,United States,Gold,2022-11-21
C00411,United States,Silver,2022-05-16
C00412,Mexico,Gold,2022-09-16
C00413,Mexico,Gold,2022-09-08
C00414,United Kingdom,Silver,2022-05-09
C00415,Canada,Bronze,2022-01-27
C00416,United States,Bronze,2022-02-17
C00417,United States,Silver,2022-11-21
C00418,United States,Bronze,2022-08-05
C00419,Canada,Silver,2022-05-22
C00420,Germany,Gold,2022-01-23
C00421,France,Bronze,2022-01-02
C00422,France,Bronze,2022-06-20
C00423,United States,Bronze,2022-03-08
C00424,United Kingdom,Gold,2022-11-23
C00425,United States,Bronze,2022-05-15
C00426,United Kingdom,Bronze,2022-03-24
C00427,United States,Bronze,2022-08-15
C00428,Japan,Bronze,2022-10-10
C00429,United States,Bronze,2022-12-28
C00430,United States,Bronze,2022-08-07
C00431,United States,Bronze,2022-10-15
C00432,Germany,Bronze,2022-01-05
C00433,Canada,Bronze,2022-02-27
C00434,United States,Silver,2022-02-08
C00435,United States,Bronze,2022-12-20
C00436,Germany,Silver,2022-03-18
C00437,United States,Silver,2022-10-07
C00438,France,Bronze,2022-01-19
C00439,Germany,Bronze,2022-07-09
C00440,United States,Bronze,2022-10-26
C00441,United States,Silver,2022-10-10
C00442,Spain,Bronze,2022-03-17
C00443,United States,Silver,2022-08-09
C00444,United States,Bronze,2022-03-07
C00445,France,Bronze,2022-01-22
C00446,Brazil,Bronze,2022-06-07
C00447,Spain,Bronze,2022-07-06
C00448,Germany,Bronze,2022-01-21
C00449,United States,Bronze,2022-07-03
C00450,United States,Gold,2022-04-18
C00451,France,Silver,2022-12-16
C00452,United Kingdom,Bronze,2022-05-08
C00453,United States,Bronze,2022-12-08
C00454,Japan,Silver,2022-02-22
C00455,United States,Bronze,2022-07-01
C00456,United Kingdom,Silver,2022-10-14
C00457,United States,Bronze,2022-07-28
C00458,United Kingdom,Bronze,2022-11-14
C00459,United States,Bronze,2022-03-21
C00460,United States,Bronze,2022-05-02
C00461,United States,Silver,2022-03-25
C00462,Canada,Silver,2022-04-01
C00463,Germany,Bronze,2022-07-31
C00464,United Kingdom,Bronze,2022-01-13
C00465,Mexico,Silver,2022-04-02
C00466,United States,Bronze,2022-06-20
C00467,United States,Silver,2022-07-30
C00468,Australia,Bronze,2022-12-09
C00469,United States,Bronze,2022-05-08
C00470,Mexico,Silver,2022-05-17
C00471,United States,Gold,2022-03-23
C00472,Mexico,Bronze,2022-12-26
C00473,United States,Bronze,2022-02-25
C00474,Japan,Bronze,2022-07-15
C00475,United Kingdom,Bronze,2022-01-20
C00476,Spain,Bronze,2022-08-29
C00477,United States,Bronze,2022-04-24
C00478,United Kingdom,Bronze,2022-04-13
C00479,Mexico,Silver,2022-08-24
C00480,United Kingdom,Silver,2022-06-29
C00481,Canada,Silver,2022-06-06
C00482,Canada,Bronze,2022-04-27
C00483,United Kingdom,Silver,2022-04-25
C00484,Canada,Bronze,2022-01-13
C00485,United Kingdom,Bronze,2022-12-04
C00486,Japan,Bronze,2022-04-09
C00487,United States,Silver,2022-07-24
C00488,United States,Gold,2022-06-18
C00489,Mexico,Gold,2022-05-23
C00490,Japan,Silver,2022-02-05
C00491,United Kingdom,Gold,2022-05-23
C00492,Canada,Bronze,2022-06-29
C00493,United States,Bronze,2022-11-25
C00494,United States,Bronze,2022-09-18
C00495,United Kingdom,Bronze,2022-07-24
C00496,United States,Silver,2022-12-14
C00497,United Kingdom,Bronze,2022-10-02
C00498,United States,Bronze,2022-06-19
C00499,Mexico,Silver,2022-01-15
C00500,Spain,Bronze,2022-03-01
C00501,Canada,Silver,2022-05-14
C00502,United Kingdom,Bronze,2022-04-02
C00503,United States,Bronze,2022-10-25
C00504,France,Gold,2022-05-16
C00505,Canada,Bronze,2022-01-20
C00506,United States,Bronze,2022-02-25
C00507,Japan,Bronze,2022-11-02
C00508,France,Silver,2022-08-11
C00509,Brazil,Bronze,2022-06-26
C00510,Germany,Gold,2022-06-10
C00511,Canada,Silver,2022-08-12
C00512,United States,Gold,2022-11-07
C00513,Brazil,Bronze,2022-09-19
C00514,Australia,Bronze,2022-03-01
C00515,United States,Bronze,2022-07-17
C00516,United States,Bronze,2022-10-23
C00517,United States,Gold,2022-04-08
C00518,France,Silver,2022-05-11
C00519,Spain,Gold,2022-01-23
C00520,United States,Silver,2022-12-29
C00521,United Kingdom,Silver,2022-08-12
C00522,United States,Silver,2022-01-01
C00523,Mexico,Silver,2022-09-24
C00524,Australia,Gold,2022-10-03
C00525,Australia,Silver,2022-12-18
C00526,United Kingdom,Gold,2022-12-10
C00527,United States,Bronze,2022-04-11
C00528,United States,Bronze,2022-07-06
C00529,United States,Bronze,2022-08-09
C00530,Australia,Silver,2022-02-05
C00531,France,Silver,2022-12-07
C00532,Spain,Bronze,2022-06-19
C00533,Spain,Silver,2022-11-16
C00534,United Kingdom,Silver,2022-06-10
C00535,Germany,Silver,2022-12-06
C00536,Brazil,Gold,2022-03-05
C00537,Australia,Silver,2022-06-03
C00538,United States,Silver,2022-09-17
C00539,United Kingdom,Bronze,2022-06-08
C00540,United States,Gold,2022-12-08
C00541,Mexico,Silver,2022-07-29
C00542,Canada,Bronze,2022-06-17
C00543,United States,Gold,2022-07-26
C00544,Canada,Silver,2022-12-23
C00545,Canada,Bronze,2022-06-01
C00546,United States,Silver,2022-10-11
C00547,United States,Gold,2022-03-07
C00548,Canada,Silver,2022-04-09
C00549,United Kingdom,Silver,2022-08-04
C00550,France,Bronze,2022-12-07
C00551,United Kingdom,Bronze,2022-07-14
C00552,Australia,Gold,2022-12-13
C00553,United Kingdom,Bronze,2022-03-31
C00554,United Kingdom,Bronze,2022-11-12
C00555,Australia,Gold,2022-10-19
C00556,United States,Bronze,2022-06-04
C00557,United States,Silver,2022-07-27
C00558,United States,Silver,2022-10-08
C00559,Germany,Gold,2022-01-01
C00560,Canada,Silver,2022-06-05
C00561,Germany,Silver,2022-05-27
C00562,United States,Bronze,2022-04-18
C00563,United States,Gold,2022-08-09
C00564,United States,Silver,2022-10-24
C00565,United States,Silver,2022-11-07
C00566,United Kingdom,Bronze,2022-12-02
C00567,United States,Bronze,2022-06-14
C00568,United States,Bronze,2022-08-27
C00569,Japan,Bronze,2022-08-15
C00570,United States,Bronze,2022-08-15
C00571,United Kingdom,Silver,2022-12-12
C00572,France,Bronze,2022-04-20
C00573,United States,Bronze,2022-09-19
C00574,Canada,Bronze,2022-08-31
C00575,Australia,Bronze,2022-03-28
C00576,Brazil,Silver,2022-12-04
C00577,United States,Silver,2022-02-13
C00578,Brazil,Silver,2022-05-26
C00579,United Kingdom,Bronze,2022-09-21
C00580,United States,Silver,2022-12-06
C00581,United Kingdom,Silver,2022-11-21
C00582,Spain,Bronze,2022-11-14
C00583,United Kingdom,Silver,2022-06-21
C00584,United States,Bronze,2022-02-17
C00585,Canada,Silver,2022-05-01
C00586,United States,Silver,2022-12-11
C00587,United States,Silver,2022-06-08
C00588,United States,Bronze,2022-04-26
C00589,United States,Gold,2022-04-12
C00590,United States,Silver,2022-03-17
C00591,United States,Bronze,2022-01-13
C00592,Canada,Silver,2022-01-24
C00593,United States,Bronze,2022-05-06
C00594,United States,Bronze,2022-09-01
C00595,Japan,Silver,2022-11-09
C00596,United Kingdom,Bronze,2022-02-07
C00597,Canada,Silver,2022-08-22
C00598,United States,Bronze,2022-08-01
C00599,United States,Silver,2022-11-19
C00600,United States,Bronze,2022-10-22
C00601,United States,Gold,2022-04-10
C00602,United States,Bronze,2022-12-23
C00603,United States,Silver,2022-07-16
C00604,United States,Silver,2022-09-11
C00605,United States,Silver,2022-07-24
C00606,United Kingdom,Silver,2022-05-05
C00607,United States,Bronze,2022-03-17
C00608,United States,Silver,2022-12-02
C00609,United Kingdom,Bronze,2022-12-19
C00610,Canada,Bronze,2022-01-03
C00611,United States,Bronze,2022-02-24
C00612,France,Gold,2022-08-06
C00613,Canada,Silver,2022-04-23
C00614,United States,Bronze,2022-04-01
C00615,Australia,Silver,2022-12-23
C00616,Brazil,Gold,2022-09-23
C00617,United States,Bronze,2022-08-26
C00618,United States,Bronze,2022-01-26
C00619,France,Bronze,2022-10-13
C00620,Germany,Silver,2022-05-08
C00621,United States,Bronze,2022-03-04
C00622,United States,Silver,2022-08-22
C00623,United States,Silver,2022-03-10
C00624,United Kingdom,Bronze,2022-08-26
C00625,Canada,Silver,2022-12-08
C00626,United States,Silver,2022-09-29
C00627,United Kingdom,Gold,2022-10-14
C00628,Germany,Bronze,2022-11-01
C00629,United States,Bronze,2022-06-12
C00630,United States,Bronze,2022-08-15
C00631,Germany,Bronze,2022-11-10
C00632,Japan,Silver,2022-09-16
C00633,United Kingdom,Silver,2022-08-07
C00634,United Kingdom,Silver,2022-10-08
C00635,United States,Gold,2022-08-17
C00636,United States,Silver,2022-03-23
C00637,United Kingdom,Bronze,2022-09-01
C00638,United States,Gold,2022-08-19
C00639,United States,Silver,2022-05-13
C00640,United States,Silver,2022-05-07
C00641,United States,Silver,2022-11-23
C00642,United States,Bronze,2022-05-22
C00643,United States,Silver,2022-09-24
C00644,United States,Silver,2022-09-06
C00645,United States,Bronze,2022-11-17
C00646,Japan,Silver,2022-05-03
C00647,United Kingdom,Silver,2022-05-21
C00648,Canada,Silver,2022-08-14
C00649,France,Bronze,2022-02-09
C00650,United Kingdom,Bronze,2023-01-01
C00651,United States,Bronze,2022-05-27
C00652,United Kingdom,Silver,2022-05-01
C00653,United Kingdom,Bronze,2022-05-20
C00654,Germany,Silver,2022-06-21
C00655,United States,Gold,2022-06-13
C00656,United States,Silver,2022-10-04
C00657,United States,Silver,2022-02-11
C00658,United States,Bronze,2022-03-12
C00659,Canada,Bronze,2022-03-19
C00660,United Kingdom,Bronze,2022-04-29
C00661,United States,Bronze,2022-07-16
C00662,Spain,Bronze,2022-12-22
C00663,Canada,Gold,2022-03-20
C00664,United States,Gold,2022-12-28
C00665,United States,Bronze,2022-04-20
C00666,United States,Silver,2022-02-02
C00667,United States,Bronze,2022-08-01
C00668,United States,Silver,2022-07-28
C00669,United States,Gold,2022-06-19
C00670,United States,Silver,2022-10-05
C00671,United States,Silver,2022-08-27
C00672,Japan,Gold,2022-08-01
C00673,United States,Bronze,2022-02-01
C00674,United Kingdom,Gold,2022-04-16
C00675,United States,Bronze,2022-08-04
C00676,Spain,Silver,2022-07-19
C00677,United States,Silver,2022-10-27
C00678,United States,Silver,2022-12-23
C00679,Mexico,Bronze,2022-01-11
C00680,Australia,Silver,2022-10-22
C00681,France,Bronze,2022-07-14
C00682,United States,Gold,2022-09-02
C00683,United States,Bronze,2022-01-04
C00684,Canada,Silver,2022-06-30
C00685,Brazil,Bronze,2022-06-02
C00686,United Kingdom,Bronze,2022-07-19
C00687,United Kingdom,Bronze,2022-08-03
C00688,United States,Silver,2022-10-03
C00689,Germany,Gold,2022-10-07
C00690,United States,Gold,2022-11-05
C00691,United States,Bronze,2022-04-23
C00692,United States,Bronze,2022-09-07
C00693,United Kingdom,Bronze,2022-04-23
C00694,United States,Silver,2022-05-20
C00695,United States,Silver,2022-08-12
C00696,Canada,Gold,2022-09-06
C00697,United States,Bronze,2022-01-15
C00698,United Kingdom,Bronze,2022-07-19
C00699,United States,Bronze,2022-06-22
C00700,United Kingdom,Silver,2022-12-09
C00701,United Kingdom,Bronze,2022-12-14
C00702,United States,Bronze,2022-07-27
C00703,United States,Silver,2022-03-26
C00704,United States,Bronze,2022-08-28
C00705,United States,Bronze,2022-03-07
C00706,Spain,Bronze,2022-11-15
C00707,United States,Bronze,2022-10-01
C00708,France,Silver,2022-01-14
C00709,United States,Silver,2022-07-21
C00710,Canada,Bronze,2022-10-31
C00711,Germany,Gold,2022-10-16
C00712,United Kingdom,Bronze,2022-12-06
C00713,United Kingdom,Bronze,2022-01-14
C00714,United States,Bronze,2022-02-12
C00715,United States,Bronze,2022-11-26
C00716,Brazil,Silver,2022-08-08
C00717,Australia,Silver,2022-03-11
C00718,Mexico,Gold,2022-08-25
